cell_type1	cell_type2	n_intersect	n_genes1	intersect_list
Bone	Kidney	12	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Liver	10	21	EARS2,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Lung	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFA8,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Lung*	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFA8,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Lung-Glandular	15	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Lung-Squamous	13	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Lymphoid	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3C,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Myeloid	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3C,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Nervous	15	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Nervous*	15	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Nervous-Glandular	10	21	ALG1L,BCL2L2-PABPN1,FAM86B1,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Nervous-StemCell	0	21	
Bone	Oral	13	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,ETFRF1,FAM86B1,NDUFC2-KCTD14,POLR2A,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F
Bone	Oral*	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,ETFRF1,FAM86B1,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Oral-Glandular	5	21	FAM86B1,NDUFC2-KCTD14,POLR2A,RGPD6,RPL21
Bone	Oral-Squamous	14	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Ovary	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,ETFRF1,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Ovary-Glandular	13	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Pancreas	11	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3H
Bone	Pancreas-Glandular	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Prostate	8	21	BCL2L2-PABPN1,FAM86B1,POLR2A,PRAMEF6,RGPD6,RPL21,TBC1D3F,TBC1D3H
Bone	Skin	0	21	
Bone	Skin*	12	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3H
Bone	Skin-Epithelium	12	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3H
Bone	Skin-Squamous	0	21	
Bone	Squamous*	15	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	StemCell*	1	21	POLR2J
Bone	Thyroid-Glandular	3	21	POLR2A,POLR2J,TBC1D3C
Bone	Urinary	8	21	EARS2,EIF3CL,HIST2H3A,POLR2A,POLR2J,RGPD6,TBC1D3C,TBC1D3H
Bone	Uterus	14	21	BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Uterus-Glandular	5	21	EIF3CL,HIST2H3A,POLR2J,TBC1D3C,TBC1D3H
Bone-Connective	BileDuct-Gastrointestinal	5	48	FAM86B1,NPIPA5,POLR2A,RGPD6,TRIM37
Bone-Connective	Bone	7	48	ALG1L,BCL2L2-PABPN1,FAM86B1,POLR2A,RGPD6,RPL21,TBC1D3F
Bone-Connective	Bone-Connective	48	48	CARS2,CBWD3,CDH11,DDX19A,FLI1,FPGS,HIST1H2AJ,HIST2H3D,HSP90AB1,IFNA21,IGF1R,IL1B,LIG1,MDM2,NPM1,NUP35,PLGLB2,TMA7,TRIM37,TRIM8,TYMS,USP14,VCY,ALG1L,FURIN,STAG1,RPSA,TBC1D3F,BCL2L2-PABPN1,FAM86B1,LCE1E,LIN37,WDR59,ASH2L,GOLGA8N,RGPD6,RPL21,CTAGE8,GBGT1,NPIPA5,TNFRSF13C,ZFP82,AFM,CLEC18C,POLR2A,SPATA31A7,RPL13A,GPX4
Bone-Connective	Breast	27	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CLEC18C,CTAGE8,FAM86B1,GBGT1,GOLGA8N,GPX4,HIST2H3D,LCE1E,LIN37,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TNFRSF13C,TYMS,WDR59,ZFP82
Bone-Connective	Breast*	30	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CLEC18C,CTAGE8,FAM86B1,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,LIN37,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TYMS,WDR59,ZFP82
Bone-Connective	Breast-Glandular	17	48	BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,NPM1,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TYMS,WDR59
Bone-Connective	Breast-Squamous	6	48	LCE1E,POLR2A,RGPD6,RPL21,RPSA,TBC1D3F
Bone-Connective	Cervix-Glandular	2	48	POLR2A,TYMS
Bone-Connective	Connective	22	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CLEC18C,CTAGE8,FAM86B1,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,LIN37,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPSA,SPATA31A7,TNFRSF13C,WDR59,ZFP82
Bone-Connective	Embryonic	0	48	
Bone-Connective	Embryonic*	4	48	ASH2L,IGF1R,RPSA,TRIM37
Bone-Connective	Embryonic-Kidney	3	48	IGF1R,RPSA,TRIM37
Bone-Connective	Embryonic-StemCell	1	48	ASH2L
Bone-Connective	Epithelium*	28	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CLEC18C,CTAGE8,FAM86B1,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,MDM2,NPIPA5,NUP35,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TNFRSF13C,VCY,ZFP82
Bone-Connective	Eye-Epithelium	15	48	ALG1L,BCL2L2-PABPN1,CLEC18C,FAM86B1,GPX4,HIST1H2AJ,LCE1E,MDM2,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,TBC1D3F,VCY
Bone-Connective	Gastrointestinal	26	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CBWD3,CLEC18C,CTAGE8,FAM86B1,FPGS,GBGT1,HIST2H3D,LCE1E,MDM2,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TNFRSF13C,TRIM37,TYMS,ZFP82
Bone-Connective	Gastrointestinal*	30	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CBWD3,CLEC18C,CTAGE8,FAM86B1,FPGS,GBGT1,HIST1H2AJ,HIST2H3D,IGF1R,LCE1E,MDM2,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TRIM37,TYMS,ZFP82
Bone-Connective	Gastrointestinal-Glandular	21	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,FAM86B1,HIST1H2AJ,HIST2H3D,IGF1R,LCE1E,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS
Bone-Connective	Glandular*	35	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CBWD3,CLEC18C,CTAGE8,FAM86B1,FURIN,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,HSP90AB1,IGF1R,LCE1E,LIG1,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TRIM37,TYMS,VCY,WDR59,ZFP82
Bone-Connective	HeadandNeck	15	48	ALG1L,BCL2L2-PABPN1,FAM86B1,HIST1H2AJ,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TMA7,TYMS,VCY
